cod_id,http_status,stage_failed,reject_detail,n_blocks,n_sites,n_sites_primitive,volume_a3,is_ordered,formula_declared,formula_parsed,max_z,min_nn_dist_a,contains_carbon,n_parser_warnings,survived
4023060,200,ordered,partial or mixed site occupancy,1,1024,,9095.3656,False,,H448 C416 N32 O32,8,,True,0,False
4023259,200,,,1,124,124,1267.8409,True,C15 H13 N O S,H52 C60 S4 N4 O4,16,0.9395,True,0,True
4023351,200,,,1,128,128,1436.9955,True,C16 F16,C64 F64,9,1.3311,True,0,True
4023409,200,ordered,partial or mixed site occupancy,1,158,,1537.1012,False,,Ni2 P4 H51 C46 N13 O2 F24,28,,True,0,False
4023416,200,,,1,56,56,531.5617,True,C11 H11 N O5,H22 C22 N2 O10,8,0.82,True,0,True
4023604,200,size_within_limit,392 sites > 150,1,392,,3740.5168,True,C41 H48 O9,H192 C164 O36,8,0.9291,True,0,False
4023984,200,size_within_limit,200 sites > 150,1,200,,1920.4143,True,C20 H24 N2 O4,H96 C80 N8 O16,8,0.8588,True,0,False
4024160,200,ordered,partial or mixed site occupancy,1,616,,6252.8026,False,,H266 C264 S32 O32,16,,True,0,False
4024162,200,size_within_limit,408 sites > 150,1,408,,4235.9065,True,C42 H52 O4 S4,H208 C168 S16 O16,16,,True,0,False
4024370,200,ordered,partial or mixed site occupancy,1,300,,3039.774,False,,Sb4 H88.038 C109.732 Cl27.9 O4,51,,True,1,False
4024395,200,,,1,82,82,675.7932,True,C13 H24 Cl N O2,H48 C26 N2 Cl2 O4,17,0.7698,True,0,True
4024561,200,,,1,76,76,589.444,True,C14 H20 O4,H40 C28 O8,8,0.8399,True,0,True
4024574,200,,,1,72,72,704.5032,True,C16 H14 O6,H28 C32 O12,8,0.8502,True,0,True
4024594,200,size_within_limit,616 sites > 150,1,616,,6198.2488,True,C39 H31 B F4 N2,B8 H248 C312 N16 F32,9,,True,0,False
4024864,200,,,1,140,140,1361.9055,True,C15 H17 N O2,H68 C60 N4 O8,8,0.8894,True,0,True
4024894,200,size_within_limit,392 sites > 150,1,392,,4259.3098,True,C23 H14 B F10 N,B8 H112 C184 N8 F80,9,0.9491,True,0,False
4025032,200,,,1,64,64,710.9349,True,C14 H12 Cl2 O4,H24 C28 Cl4 O8,17,0.9502,True,0,True
4025406,200,,,1,72,72,596.1479,True,C6 H8 F N O2,H32 C24 N4 O8 F4,9,0.9342,True,0,True
4025412,200,,,1,40,40,619.3758,True,C10 H4 Br4 N2,H8 C20 Br8 N4,35,0.9498,True,0,True
4025484,200,ordered,partial or mixed site occupancy,1,148,,1249.4257,False,,H64 C48 S4 N4 O8,16,,True,0,False
4025570,200,,,1,94,94,888.1973,True,C24 H19 N O3,H38 C48 N2 O6,8,0.9283,True,0,True
4025656,200,size_within_limit,180 sites > 150,1,180,,1684.9658,True,C16 H21 N3 O5,H84 C64 N12 O20,8,0.7673,True,0,False
4025663,200,size_within_limit,156 sites > 150,1,156,,1449.5885,True,C18 H19 N O,H76 C72 N4 O4,8,0.9446,True,0,False
