cod_id,formula_reduced,formula_full,n_sites,n_sites_primitive,volume_a3,spacegroup_symbol,spacegroup_number,crystal_system,n_elements,elements,contains_carbon
7215717,CuH9C9N3O2,Cu4 H36 C36 N12 O8,96,96,985.4858,P2_1/c,14,monoclinic,5,C Cu H N O,True
7215733,H5C7N(OF)2,H20 C28 N4 O8 F8,68,68,705.8807,P-1,2,triclinic,5,C F H N O,True
7215737,H9C13N2(OF)4,H18 C26 N4 O8 F8,64,64,643.1988,P-1,2,triclinic,5,C F H N O,True
7215780,AgH16C5I3N2O,Ag4 H64 C20 I12 N8 O4,112,112,1395.0181,P2_1/c,14,monoclinic,6,Ag C H I N O,True
7215827,H10C16N3F2,H40 C64 N12 F8,124,124,1238.2175,P2_1/c,14,monoclinic,4,C F H N,True
7215848,LaH19C12S3NO9,La2 H38 C24 S6 N2 O18,90,90,1039.0488,P-1,2,triclinic,6,C H La N O S,True
7215849,NdH19C12S3NO9,Nd2 H38 C24 S6 N2 O18,90,90,1034.4324,P-1,2,triclinic,6,C H N Nd O S,True
7215925,Pr2H9C10O13,Pr4 H18 C20 O26,68,68,817.7287,P-1,2,triclinic,4,C H O Pr,True
7215973,H13C13S2N3O5,H52 C52 S8 N12 O20,144,144,1480.7705,P-1,2,triclinic,5,C H N O S,True
7215986,H30C27(NO)2,H60 C54 N4 O4,122,122,1153.1049,P-1,2,triclinic,4,C H N O,True
7215995,BH6CN3F4,B3 H18 C3 N9 F12,45,15,374.3543,R3,146,trigonal,5,B C F H N,True
7216248,PH24C19S2N4ClO3,P2 H48 C38 S4 N8 Cl2 O6,108,108,1210.7054,P-1,2,triclinic,7,C Cl H N O P S,True
7216285,H5C10O3F,H10 C20 O6 F2,38,38,399.9509,P-1,2,triclinic,4,C F H O,True
7216322,CdH8C10Br2(NCl)2,Cd2 H16 C20 Br4 N4 Cl4,50,50,670.4798,P2_1/c,14,monoclinic,6,Br C Cd Cl H N,True
7216334,CdH8C10(IN)2,Cd2 H16 C20 I4 N4,46,23,640.6144,Cmmm,65,orthorhombic,5,C Cd H I N,True
7216428,Co3H38C30(N3O4)4,Co3 H38 C30 N12 O16,99,99,967.3241,P-1,2,triclinic,5,C Co H N O,True
7216471,H3CCl,H12 C4 Cl4,20,10,204.5706,Cmc2_1,36,orthorhombic,3,C Cl H,True
7216554,EuZn(BO2)5,Eu4 Zn4 B20 O40,68,68,614.7497,P2_1/c,14,monoclinic,4,B Eu O Zn,False
7216652,H2C2NO,H32 C32 N16 O16,96,96,965.5352,P2_1/c,14,monoclinic,4,C H N O,True
7216661,H7C11IN3F2,H28 C44 I4 N12 F8,96,96,1131.5217,P2_1/c,14,monoclinic,5,C F H I N,True
7216669,H6C10I(N2F)2,H24 C40 I4 N16 F8,92,92,1134.2045,P2_1/c,14,monoclinic,5,C F H I N,True
7216691,CuH27C21(NO4)3,Cu2 H54 C42 N6 O24,128,128,1224.0644,P-1,2,triclinic,5,C Cu H N O,True
7216783,H19C20SNO4,H19 C20 S1 N1 O4,45,45,446.4786,P1,1,triclinic,5,C H N O S,True
7216797,V6Co3H32C12(N12O11)2,V6 Co3 H32 C12 N24 O22,99,99,1038.3849,P-1,2,triclinic,6,C Co H N O V,True
7216829,H16C8N7O5,H32 C16 N14 O10,72,72,612.1775,P-1,2,triclinic,4,C H N O,True
7216870,H13C5(NO)3,H26 C10 N6 O6,48,48,432.9402,P-1,2,triclinic,4,C H N O,True
7216909,H32C23S(N3O)2,H64 C46 S2 N12 O4,128,128,1190.5564,P-1,2,triclinic,5,C H N O S,True
7216973,H8C9NO,H32 C36 N4 O4,76,76,732.8086,P2_1/c,14,monoclinic,4,C H N O,True
7217033,H14C13S(NO)3,H56 C52 S4 N12 O12,136,136,1357.3119,P2_1/c,14,monoclinic,5,C H N O S,True
7217047,CdH12C13N2O5,Cd4 H48 C52 N8 O20,132,132,1344.0527,P2_1,4,monoclinic,5,C Cd H N O,True
7217085,UPH22C27N2O7,U2 P2 H44 C54 N4 O14,120,120,1358.0732,P-1,2,triclinic,6,C H N O P U,True
7217112,H10C4NO3,H80 C32 N8 O24,144,144,1275.745,Pbcn,60,orthorhombic,4,C H N O,True
7217128,H15C14NO,H60 C56 N4 O4,124,124,1144.0282,P2_1/c,14,monoclinic,4,C H N O,True
7217132,H12C14NOF3,H48 C56 N4 O4 F12,124,124,1228.4428,P2_1/c,14,monoclinic,5,C F H N O,True
7217134,H18C14NClO2,H72 C56 N4 Cl4 O8,144,144,1315.0576,P2_1/c,14,monoclinic,5,C Cl H N O,True
7217258,CoH22C22(N2O3)2,Co1 H22 C22 N4 O6,55,55,572.9905,P-1,2,triclinic,5,C Co H N O,True
7217659,CuH34C48(OF3)4,Cu1 H34 C48 O4 F12,99,99,1033.6245,P-1,2,triclinic,5,C Cu F H O,True
7217703,H10C7N2Cl,H40 C28 N8 Cl4,80,80,800.3968,P2_1/c,14,monoclinic,4,C Cl H N,True
7217761,MoH17C16(NO2)3,Mo2 H34 C32 N6 O12,86,86,835.1406,P-1,2,triclinic,5,C H Mo N O,True
7217777,CaH10(C7O3)2,Ca4 H40 C56 O24,124,124,1278.4101,P2_1/c,14,monoclinic,4,C Ca H O,True
7217871,H26C21(NO)8,H52 C42 N16 O16,126,126,1175.0954,P-1,2,triclinic,4,C H N O,True
7217903,H15C17NOF2,H60 C68 N4 O4 F8,144,144,1401.6635,P-1,2,triclinic,5,C F H N O,True
7218125,H38C26SNO,H76 C52 S2 N2 O2,134,134,1178.7549,P-1,2,triclinic,5,C H N O S,True
7218151,H10C8SN2,H40 C32 S4 N8,84,42,801.0154,Cc,9,monoclinic,4,C H N S,True
7218160,H24C24SN4ClO6,H48 C48 S2 N8 Cl2 O12,120,120,1186.8083,P-1,2,triclinic,6,C Cl H N O S,True
7218201,ZnH31C30N3O5,Zn2 H62 C60 N6 O10,140,140,1358.8074,P-1,2,triclinic,5,C H N O Zn,True
7218351,PH20C10I2(NF3)2,P2 H40 C20 I4 N4 F12,82,82,831.1441,P-1,2,triclinic,6,C F H I N P,True
7218380,H6C11SN3ClO,H24 C44 S4 N12 Cl4 O4,92,92,1056.2552,P2_1/c,14,monoclinic,6,C Cl H N O S,True
